Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
main_Midbrain_IC,17.05063291,17.05645161,17.00282486,17.02963824,15.88181818,17.14204545,16.625,16.89874335,18.44902597,17.55263158,16.47368421,18.55182599,16.51204994,17.48912543,17.00058769,17.56097561
main_Midbrain_MEV,15.234375,,,,15.17647059,16.69642857,15.83803553,16.24473684,,16.81818182,,16.76271186,,16.23633157,16.23633157,
main_Midbrain_MRN,15.45119048,15.45916667,15.85714286,15.65815476,14.62745098,16.51724138,16.06818182,16.10526316,17.25143678,16.86792453,16.9375,17.62962963,18.92887205,15.91836735,17.4236197,17.90384615
main_Midbrain_NOT,14.29429134,14.32122507,14.72527651,14.52325079,13.9122807,13.74157303,14.11363636,14.28452232,15.74061608,14.87414966,16.45505024,16.72413793,15.82767762,15.05989011,15.44378387,15.09155223
main_Midbrain_PPN,,14.68081494,14.73863636,14.70972565,14.20137421,19.04545455,17.63333333,16,16.87008427,17.45454545,,16.98484848,19.05555556,16.11111111,17.58333333,17.77083333
main_Midbrain_PPT,15.03673163,14.92982456,15.91666667,15.42324561,15.06329114,15.44967025,15.09677419,15.91271552,16.60857592,16.51041667,16.53593074,16.60759494,17.11764706,16.98908373,17.05336539,16.09302326
main_Midbrain_RN,19.11538462,,,,,18.75,18.575,15.98303571,,18.55062112,,,,16.3125,16.3125,
main_Midbrain_RR,17.6,14.8689693,14.91153846,14.89025388,14.16216216,16.91153846,18.09375,15.90804731,17.2519084,16.1176761,16.6875,17.09375,19.31428571,15.98245614,17.64837093,19.60606061
main_Midbrain_SCm,15.93857759,15.8620811,15.73979167,15.80093639,15.23458333,15.51219512,15.52814396,15.97647059,16.97076398,16.81245774,16.85449735,17.24637681,17,16.60239027,16.80119514,16.9
main_Midbrain_SCs,15.15713087,14.69620253,14.62471719,14.66045986,15.12687235,14.22825093,14.03937008,14.99456522,17.31122449,14.47150997,,17.41401274,14.07262704,14.59628816,14.3344576,15.33962264
main_Midbrain_SNc,,15.11578947,15.03333333,15.0745614,14.94339623,17.63156553,16.6889881,15.87295182,16.17346939,16.15045249,17.04820513,16.55574614,17.76078167,15.57672634,16.66875401,16.32653061
main_Midbrain_SNr,18.53731343,13.73333333,14.20833333,13.97083333,13.85393258,17.9,16.80720093,15.90243902,13.31451613,13.81730769,16.53614983,14.03866995,15.79134615,15.86122881,15.82628748,13.86206897
main_OlfactoryAreas_AON1,15.64586284,15.87453875,15.73126448,15.80290161,16.14716424,16.21052632,17.42424242,16.92771084,16.18404908,16.62667813,16.15286708,16.8003268,15.63874346,16.25274725,15.94574535,15.81996695
main_OlfactoryAreas_AON2,16,16.91517857,16.6554878,16.78533319,17.39961977,16.78032787,17.45024876,17.17967101,17.60816254,17.1700791,18.01515499,17.99277978,16.12962963,17.19308357,16.6613566,15.70063694
main_OlfactoryAreas_MOBgl,14.61359447,13.87573964,14.06790123,13.97182044,14.0625,14.42857143,14.98142519,14.86792453,14.97014925,14.84781879,14.64256678,14.64527568,13.98019802,,13.98019802,14.35363248
main_OlfactoryAreas_MOBgr,18.74401709,18.77966102,19.19444444,18.98705273,18.65384615,19.555,20.49180328,18.86794547,19.83836892,20.3238163,19.17977528,19.73485635,19.81382364,,19.81382364,18.95
main_OlfactoryAreas_MOBipl,18.03416149,18.59945414,18.85087719,18.72516567,18.31007752,17.19862637,18.57608696,18.38106247,19.51145038,19.49290308,18.87083333,18.7380251,17.93369429,,17.93369429,18.56982994
main_OlfactoryAreas_MOBmi,18.03278689,18.12765957,18.94162605,18.53464281,18.60416667,18.43137255,19.10144928,18.91150442,19.37735849,19.49809524,17.10344828,19.12197215,18.49561404,,18.49561404,19.52631579
main_OlfactoryAreas_MOBopl,14.28915663,13.68691091,14.41489362,14.05090226,13.55033557,12.86773158,15.665,15.07407407,15.01754386,15.5387764,14.7183908,15.45558323,13.71700219,,13.71700219,13.77272727
main_OlfactoryAreas_PIR1,15.98730964,16.19900055,15.40928131,15.80414093,16.01322751,16.82370821,17.25,16.13079455,16.29986844,16.86322188,16.85159011,17.18394649,16.7122807,16.62091503,16.66659787,15.79552716
main_OlfactoryAreas_PIR2,16.70293004,17.06847307,16.40588235,16.73717771,16.9015873,17.10069444,17.06611977,17.26224784,17.51748252,17.27438308,17.91485422,18.37408578,16.729922,17.48537932,17.10765066,16.07112971
main_Pallidum_BST,14.94176932,14.56639248,15.33613445,14.95126347,14.90540541,14.69566841,16.41317365,16.12650602,15.85806452,15.97272727,,,,,,15.25757576
main_Pallidum_GPi,,,14.68224299,14.68224299,,15.52380952,18.92277046,15.48062016,18.5,19.95039683,17.06257265,16.63333333,21.69397993,19.88787879,20.79092936,21.19021739
main_Pallidum_NDB,15.30784314,15.43187744,15.49503311,15.46345528,14.55,15.45706073,16.32490006,16.07971014,16.11887321,16.43589744,,16.14678899,15.34234234,14.71449275,15.02841755,15.69158879
main_Pallidum_SI,15.87234043,15.69090909,15.95833333,15.82462121,15.125,16.01612903,16.91764706,15.89915966,15.41891892,15.88230769,17.28388278,15.93260369,16.56756757,16.50961538,16.53859148,17.275
main_Pons_PB,14.60784314,15.20509171,15.24661654,15.22585413,14.83225108,16.44776119,15.70057471,16.21201923,17.48560637,16.77226814,17.71557346,17.80072211,16.43809524,16.3485119,16.39330357,16.59322034
main_Pons_PG,17.33333333,,18.04,18.04,16.48543689,,18.08064516,18.97076398,18.02727273,19.58823529,,19.05311355,,,,17.88812549
