Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
main_Cerebellum_FN,24.40262618,25.73570955,27.04844898,26.39207926,39.92516667,22.80166848,21.76069872,19.6258,,24.89879485,,,27.17105674,22.09038095,24.63071885,23.80433333
main_Cerebellum_FOTUgr,54.18942,52.07753589,50.07446932,51.0760026,50.34697727,46.12021782,47.97373019,,,43.30750745,,,32.87627059,37.91106456,35.39366757,
main_Cerebellum_FOTUmo,45.47645386,43.25415927,44.58509735,43.91962831,43.20098347,47.71985537,45.82621297,,,43.97457471,,,35.51845502,41.73853368,38.62849435,
main_Cerebellum_IP,25.11909159,29.82681333,27.93354957,28.88018145,26.86644718,24.71317021,24.12097143,26.43547209,28.64505195,24.95924655,26.9972924,29.77220649,23.1639473,26.078,24.62097365,27.91
main_Cerebellum_NODgr,44.06950327,45.4152869,45.93947305,45.67737997,46.34291667,43.94479851,45.13368519,41.06056385,,39.0753,,,34.02703967,37.92053571,35.97378769,
main_Cerebellum_NODmo,47.78576236,45.59215837,44.08696703,44.8395627,44.37691667,46.86373256,47.07795968,44.50586285,,42.55160331,,,40.5489717,41.12749451,40.8382331,
main_Cerebellum_PYRgr,51.4277697,51.79804673,51.205185,51.50161586,44.4852623,43.42749091,45.50709655,48.09521176,,41.18478417,,,32.29515517,37.21813628,34.75664573,
main_Cerebellum_PYRmo,47.75407692,43.85799375,45.51082638,44.68441007,40.6368766,45.58950212,46.88966299,45.06137805,,41.76787219,,,37.22679426,42.83226705,40.02953065,
main_Cerebellum_UVUgr,46.70898686,,,,44.29241111,42.92009272,43.09496528,43.40853567,,38.83002361,,,32.86754308,37.26475941,35.06615125,
main_Cerebellum_UVUMo,48.47507391,,,,41.25160488,46.61657342,46.32555941,45.06789637,,40.65048274,,,36.68544298,42.03598198,39.36071248,
main_CorticalSubplate_CLA,41.86578161,42.96425502,44.34328231,43.65376866,42.33118483,46.29649819,42.99050495,44.74850423,41.20562753,41.69410699,41.66717043,45.86400269,36.95053439,45.06688706,41.00871073,38.56578646
main_CorticalSubplate_EPd,43.3245529,43.88288764,43.78695105,43.83491934,45.5467533,43.20707752,45.18279468,45.79935921,42.59970805,43.22122266,41.56239588,44.3407131,41.27872296,44.91430855,43.09651575,38.70051048
main_FibreTracts_aco,32.26705804,32.26238387,33.76438596,33.01338492,32.06158333,37.42595238,36.70201587,31.81507273,28.37201818,29.09795238,,31.20869342,35.88080645,35.38459687,35.63270166,31.87720008
main_FibreTracts_act,29.77271804,27.36484932,30.61068889,28.9877691,32.64619737,32.65553143,39.10233593,37.94035828,25.32382692,30.84816932,30.50534111,29.08259119,34.87598609,31.30523529,33.09061069,29.8465
main_FibreTracts_alv,33.23967374,33.46775,40.55388462,37.01081731,28.86,40.76072727,38.00619853,34.75968807,30.43965217,,31.43435556,33.15241667,39.786,35.7663,37.77615,35.6368
main_FibreTracts_arb,35.79262069,35.0199375,35.17984091,35.0998892,,44.941,47.62933333,35.93886111,26.26992593,28.4575045,29.79285417,38.6532,45.4025,33.44766667,39.42508333,30.19190909
main_FibreTracts_bsc,30.35483987,36.66703571,33.96066667,35.31385119,41.58618182,52.36017308,35.8827,39.85368333,35.8079,37.26388889,46.77608333,41.17304,38.80337857,33.42530435,36.11434146,41.96163636
main_FibreTracts_cc,33.57629661,30.65675949,32.60434163,31.63055056,30.28362625,41.73366667,31.79639796,30.47390923,29.58742156,28.70565657,27.96225089,29.69382222,36.15854545,29.87976454,33.019155,28.11823077
main_FibreTracts_cpd,48.738625,34.14835714,42.76262339,38.45549026,42.86275,38.48905882,34.61116667,48.437375,31.42020897,31.875,34.30846154,34.62796474,36.1614,31.22305,33.692225,41.13692754
main_FibreTracts_fi,32.75776468,39.09925,37.80790758,38.45357879,29.80668587,49.11453571,48.66067857,31.08763333,28.89230814,33.70392532,27.7927,27.78247368,37.57091667,29.33451541,33.45271604,41.22542857
main_FibreTracts_int,,31.65695833,37.60520022,34.63107927,29.33772892,36.93808333,42.5887284,32.97835385,28.56072872,29.69350404,31.93140598,29.03579688,37.83976136,29.56269425,33.70122781,34.5429375
